,-172,1634
407812.0,-22,178
543939.0,-64,485
624585.0,-53,321
445055.0,-36,242
458085.0,-85,381
519203.0,-29,262
518792.0,-17,561
600303.0,-6,42
592609.0,-20,55
425509.0,-49,503
571431.0,-16,76
451594.0,-104,590
516770.0,-47,487
570489.0,0,29
430947.0,-79,500
545361.0,-120,709
543213.0,-55,376
459964.0,-30,205
572122.0,-72,444
594777.0,-108,636
429664.0,-18,441
543543.0,-59,430
554429.0,-51,242
457706.0,-97,562
501896.0,-56,240
543829.0,-50,474
542303.0,-86,523
434604.0,-10,92
445988.0,-44,318
458913.0,-4,89
592743.0,-15,508
588751.0,-44,454
430948.0,-29,135
430637.0,-32,231
607054.0,-46,463
592885.0,-81,511
519317.0,-43,322
455976.0,-71,593
518692.0,-22,196
595281.0,-88,693
457775.0,-10,89
501983.0,-74,227
425766.0,-30,158
519306.0,-52,356
523253.0,-63,438
456665.0,-14,239
457477.0,-66,327
452678.0,-61,352
446334.0,-63,371
592518.0,-107,491
475247.0,-39,234
570731.0,-35,275
456030.0,-30,297
605125.0,-103,391
520471.0,-79,505
429713.0,-33,224
605141.0,-144,685
593428.0,-59,550
425664.0,-32,185
546318.0,-66,622
120074.0,-4,9
519184.0,-113,595
435063.0,-47,212
400284.0,-50,306
434670.0,-72,311
467055.0,-59,296
458675.0,-61,452
474892.0,-32,179
608070.0,-38,250
456422.0,-92,505
543401.0,-35,364
488726.0,-113,459
472528.0,-43,290
476704.0,-18,157
467793.0,-37,192
461235.0,-36,409
514888.0,-29,470
502082.0,-24,264
501981.0,-54,355
516416.0,-41,477
460075.0,-69,455
518934.0,-18,472
571697.0,-41,300
452252.0,-20,185
460576.0,-87,506
471865.0,-110,557
408047.0,-12,70
572816.0,-38,195
133380.0,-61,286
453064.0,-23,404
453568.0,-166,675
501255.0,-13,83
518614.0,-22,129
592206.0,-50,353
408234.0,-16,204
435079.0,-22,510
572821.0,-76,543
542455.0,-13,74
116338.0,-49,477
542454.0,-18,254
493316.0,-57,670
457788.0,-30,115
434658.0,-51,317
502110.0,-78,545
461858.0,-64,425
578428.0,-34,364
408045.0,-48,265
475582.0,-33,167
488862.0,-66,240
501571.0,-67,491
502517.0,-36,304
572191.0,-94,586
431151.0,-25,79
527038.0,-62,407
462564.0,2,74
434158.0,-72,573
435622.0,-56,511
547180.0,-77,593
446263.0,-34,229
489138.0,-14,74
571740.0,-36,479
453943.0,-86,387
435522.0,-18,459
408252.0,-25,432
446359.0,-13,157
516782.0,-86,513
407781.0,-112,483
543281.0,-58,316
457705.0,-98,573
474568.0,-37,384
570256.0,-95,577
476883.0,-46,205
592626.0,-112,539
346874.0,-44,243
571976.0,-40,176
519025.0,-29,158
624577.0,-35,242
425549.0,-30,210
408307.0,-51,127
461314.0,-98,581
576397.0,-6,322
276519.0,-34,414
475174.0,-34,185
435062.0,-46,355
542255.0,-58,519
444432.0,-72,311
572041.0,-125,655
572008.0,-15,367
502671.0,-37,313
431094.0,-7,197
434636.0,-130,490
431171.0,-28,104
453923.0,-62,319
605412.0,-20,287
543063.0,-39,478
493114.0,-16,311
605113.0,-21,430
460060.0,-16,209
474832.0,-59,275
453539.0,-20,332
519299.0,-37,377
543434.0,-86,419
425783.0,-66,594
134181.0,-59,385
502226.0,1,51
547982.0,-3,391
477195.0,-18,121
543760.0,-77,508
596059.0,-42,393
425902.0,-10,25
607387.0,-22,99
450314.0,-55,357
462101.0,-38,606
452104.0,-103,426
430832.0,-69,415
136860.0,-49,369
458731.0,-109,585
544369.0,-76,522
518626.0,-85,442
429665.0,-17,99
581527.0,-29,200
607680.0,-85,738
592647.0,-1,114
453056.0,-54,423
475253.0,-8,142
443558.0,-46,320
518577.0,3,91
448605.0,-30,122
405395.0,-38,174
489149.0,-39,212
453400.0,-18,90
457727.0,-127,650
465784.0,-6,74
542921.0,-24,127
430945.0,-62,577
467827.0,-69,537
571448.0,-78,485
506560.0,-44,309
457708.0,-50,515
444843.0,-101,392
457759.0,-40,252
444482.0,-86,484
457763.0,-6,61
571875.0,-51,247
519295.0,-11,186
519068.0,-9,79
448801.0,-38,265
446386.0,-35,294
573131.0,-17,133
537953.0,-14,136
425796.0,-61,309
429667.0,-36,203
543333.0,-25,275
444876.0,-67,491
547989.0,-11,191
594809.0,-95,660
493351.0,-36,534
466320.0,-97,528
408299.0,-17,352
425567.0,-16,411
519058.0,-59,376
541645.0,-72,467
493596.0,-27,164
456715.0,-82,676
460086.0,-53,378
545350.0,-28,425
543807.0,-39,378
449107.0,-32,257
543238.0,-67,621
453203.0,-12,220
461865.0,-24,191
150212.0,-65,269
458015.0,-44,283
457803.0,-81,608
500208.0,-41,253
452239.0,-45,253
622110.0,-61,351
592192.0,-71,306
489267.0,-12,102
425496.0,4,25
502285.0,-5,20
592261.0,-91,508
452220.0,-40,352
463610.0,-6,37
519333.0,-21,59
608672.0,-15,97
543216.0,-56,154
449181.0,-51,278
543257.0,4,44
542340.0,-15,108
500871.0,-65,368
519208.0,-43,170
407862.0,-5,12
628356.0,-56,339
519048.0,-37,175
502143.0,-51,262
455759.0,-46,325
407893.0,-27,209
408314.0,-24,426
476270.0,-17,48
453211.0,-12,114
461815.0,-49,189
430605.0,-23,102
460055.0,-17,90
430404.0,-50,180
594838.0,-17,56
446481.0,-18,171
217100.0,-18,54
430001.0,-18,31
605486.0,-45,216
572761.0,-72,350
545341.0,-30,282
448602.0,-55,199
456781.0,-7,46
514917.0,-70,346
121347.0,-1,7
571788.0,-24,396
434540.0,-9,100
501800.0,-9,67
543742.0,-22,114
503556.0,-27,254
451713.0,-9,92
408236.0,-36,254
425560.0,-19,73
430611.0,-12,24
518911.0,-5,16
461416.0,-62,352
488852.0,-2,13
433217.0,-45,155
457787.0,-31,354
468406.0,-14,83
605227.0,-27,170
648717.0,-32,121
475100.0,-26,180
456488.0,-9,128
514913.0,-57,314
467143.0,-14,103
502210.0,-54,523
453269.0,-8,75
400085.0,-37,378
430603.0,0,2
430203.0,-34,205
502117.0,-8,83
502481.0,-2,267
446381.0,-5,28
452234.0,-9,339
150029.0,-13,281
466988.0,-23,53
435401.0,-51,180
430321.0,-13,154
543590.0,-10,140
425784.0,-2,3
543776.0,-29,144
435078.0,-6,45
518953.0,-14,167
493472.0,-39,130
543484.0,-14,89
518568.0,-10,101
573627.0,-3,29
488721.0,-64,238
572365.0,-21,364
501647.0,-22,74
592178.0,-77,382
541650.0,-34,169
518902.0,-12,96
502582.0,-35,137
518960.0,-1,10
499864.0,-4,7
592166.0,0,4
593525.0,-1,3
452655.0,-66,296
456121.0,-23,188
608365.0,-65,469
595386.0,-6,49
467070.0,-44,232
519390.0,-1,37
630111.0,-45,304
518653.0,-16,93
502317.0,-6,68
517370.0,-12,33
519071.0,-7,26
571970.0,-20,62
502205.0,-6,26
459431.0,2,39
571506.0,-35,166
543068.0,-23,96
516809.0,-12,61
571771.0,-30,184
543302.0,0,3
502409.0,-1,12
452035.0,-4,28
534627.0,-11,42
599096.0,-1,88
542993.0,-87,520
425557.0,-6,26
485567.0,-44,214
458582.0,0,1
621035.0,-15,91
499624.0,-58,206
465674.0,-3,73
430910.0,-1,2
517369.0,-11,56
424825.0,-13,116
592696.0,-36,451
448674.0,-3,5
542994.0,-2,101
429666.0,-12,342
605512.0,-37,267
543768.0,-16,120
595025.0,-5,16
598265.0,-42,303
501659.0,-40,234
474494.0,3,51
543305.0,-91,487
596748.0,-47,186
592239.0,-4,89
570560.0,-14,339
596143.0,-22,99
452254.0,-31,223
571868.0,-1,25
430897.0,-16,113
545338.0,-12,62
571553.0,-6,63
572019.0,-30,174
488681.0,-66,300
628329.0,-30,289
519107.0,0,8
493128.0,-3,34
571761.0,0,34
488703.0,0,2
467798.0,-4,17
607385.0,-38,181
553988.0,-10,68
594940.0,-7,13
285078.0,-1,139
431145.0,-1,1
501245.0,3,3
593643.0,-10,109
570717.0,-1,38
434778.0,-2,13
488689.0,-9,30
451089.0,-12,185
608336.0,-20,80
543685.0,-30,221
571665.0,0,6
425543.0,-4,23
594988.0,0,21
621043.0,-31,322
474443.0,-36,171
488810.0,0,2
460099.0,-20,162
570482.0,-20,192
605323.0,-15,23
593871.0,-6,15
425834.0,-39,227
453895.0,-14,93
458689.0,-2,10
553993.0,-45,304
592863.0,-3,26
592620.0,-18,38
621439.0,-40,205
502126.0,-19,219
543706.0,-2,89
518618.0,-36,212
596019.0,-28,303
570267.0,-42,166
456714.0,-3,9
476633.0,-16,72
571825.0,-14,51
544925.0,-18,77
516811.0,4,138
519083.0,-4,12
457760.0,-7,7
594824.0,-5,38
489305.0,-6,24
519345.0,-7,22
429711.0,-33,147
574831.0,-1,2
500743.0,-4,117
594828.0,-17,25
491676.0,1,5
571918.0,-3,29
430652.0,-6,170
502261.0,-27,155
502100.0,-3,17
502054.0,-36,136
572138.0,-8,17
489067.0,-6,14
488671.0,-3,18
518735.0,-3,5
501303.0,-2,115
596144.0,-1,39
593934.0,-4,24
527043.0,-13,40
430681.0,-1,7
502676.0,-1,4
444379.0,2,9
524968.0,-8,23
573135.0,-41,181
518170.0,0,1
448170.0,-8,22
608701.0,-5,36
542208.0,2,1
543321.0,-4,16
543038.0,0,3
502034.0,-1,1
571466.0,0,3
543094.0,-9,26
543569.0,1,3
477165.0,-6,18
572039.0,-59,198
465753.0,-5,26
544725.0,-6,11
542583.0,-3,5
624424.0,1,161
