last_name,first_name,position,total_bases,opportunities,percentage,player_id
olt,mike,5,-12,49,-0.245,592609
seager,kyle,5,-37,443,-0.084,572122
freese,david,5,-44,240,-0.183,501896
prado,martin,5,-30,299,-0.1,445988
callaspo,alberto,5,-11,124,-0.089,430948
longoria,evan,5,-41,371,-0.111,446334
machado,manny,5,-76,474,-0.16,592518
asche,cody,5,-15,128,-0.117,605125
sandoval,pablo,5,-46,296,-0.155,467055
valbuena,luis,5,-19,235,-0.081,472528
chisenhall,lonnie,5,-8,137,-0.058,502082
ramirez,aramis,5,-24,277,-0.087,133380
ynoa,rafael,5,-3,5,-0.6,501255
castellanos,nick,5,-28,353,-0.079,592206
plouffe,trevor,5,-39,392,-0.099,461858
escobar,yunel,5,-42,240,-0.175,488862
wright,david,5,-23,79,-0.291,431151
frazier,todd,5,-66,387,-0.171,453943
harrison,josh,5,-13,175,-0.074,543281
uribe,juan,5,-22,222,-0.099,346874
middlebrooks,will,5,-18,146,-0.123,519025
hill,aaron,5,-6,78,-0.077,431094
mcgehee,casey,5,-22,87,-0.253,431171
lawrie,brett,5,-41,284,-0.144,543434
beltre,adrian,5,-32,385,-0.083,134181
headley,chase,5,-70,426,-0.164,452104
donaldson,josh,5,-50,442,-0.113,518626
johnson,chris,5,-13,51,-0.255,453400
arenado,nolan,5,-32,485,-0.066,571448
turner,justin,5,-28,224,-0.125,457759
lamb,jake,5,-29,239,-0.121,571875
moustakas,mike,5,-41,376,-0.109,519058
beckham,gordon,5,-18,120,-0.15,493596
rosales,adam,5,3,17,0.176,489267
la stella,tommy,5,-1,6,-0.167,600303
gillaspie,conor,5,-37,152,-0.243,543216
ladendorf,tyler,5,0,1,0.0,502285
aviles,mike,5,-9,51,-0.176,449107
villar,jonathan,5,0,26,0.0,542340
spangenberg,cory,5,-9,30,-0.3,605486
carpenter,matt,5,-59,328,-0.18,572761
solano,donovan,5,-2,15,-0.133,456781
johnson,kelly,5,-2,16,-0.125,430637
blanco,andres,5,-16,75,-0.213,433217
herrera,jonathan,5,-5,26,-0.192,468406
romine,andrew,5,-8,50,-0.16,461865
guerrero,alex,5,-9,39,-0.231,648717
escobar,eduardo,5,-1,10,-0.1,500871
gosselin,philip,5,-3,16,-0.188,594838
kang,jung ho,5,-23,181,-0.127,628356
duffy,matt,5,-23,326,-0.071,622110
kelly,don,5,0,2,0.0,430603
coghlan,chris,5,-2,1,-2.0,458085
rodriguez,alex,5,0,3,0.0,121347
featherston,taylor,5,-1,39,-0.026,605227
alcantara,arismendy,5,0,2,0.0,570489
campbell,eric,5,-21,107,-0.196,493472
forsythe,logan,5,-2,20,-0.1,523253
holt,brock,5,-9,72,-0.125,571788
espinosa,danny,5,-4,29,-0.138,457787
bryant,kris,5,-49,343,-0.143,592178
valencia,danny,5,-21,143,-0.147,502143
perez,hernan,5,-17,119,-0.143,541650
nunez,eduardo,5,-3,23,-0.13,456488
jimenez,luis,5,-4,6,-0.667,499864
solarte,yangervis,5,-19,174,-0.109,500208
rogers,jason,5,-3,5,-0.6,595386
canha,mark,5,0,2,0.0,592192
tomas,yasmany,5,-20,73,-0.274,630111
pennington,cliff,5,-3,14,-0.214,460060
arias,joaquin,5,-2,7,-0.286,435078
negron,kristopher,5,-1,1,-1.0,502117
muncy,max,5,-10,27,-0.37,571970
hernandez,cesar,5,-7,30,-0.233,514917
paredes,jimmy,5,-3,7,-0.429,517370
gonzalez,marwin,5,-7,34,-0.206,503556
gomez,hector,5,-5,15,-0.333,467143
bloomquist,willie,5,-2,7,-0.286,217100
murphy,daniel,5,-15,97,-0.155,502517
goins,ryan,5,-1,1,-1.0,572365
brignac,reid,5,0,1,0.0,458582
kozma,pete,5,-4,28,-0.143,518902
petit,gregorio,5,1,5,0.2,463610
ciriaco,pedro,5,-1,26,-0.038,465674
reynolds,mark,5,-4,25,-0.16,448602
herrera,elian,5,-21,104,-0.202,467070
colon,christian,5,2,23,0.087,518568
drew,stephen,5,0,2,0.0,452220
tejada,ruben,5,-11,55,-0.2,514913
franco,maikel,5,-26,180,-0.144,596748
