player_id,position,total_bases,opportunities
456715.0,8,-70,347
519058.0,5,-15,65
444876.0,6,-41,493
431151.0,5,-30,93
493316.0,7,-71,274
435522.0,4,-17,341
571681.0,9,-20,36
434158.0,9,-112,424
543333.0,3,-41,280
452678.0,6,-38,382
408299.0,4,-19,120
501571.0,8,-11,158
446263.0,3,-13,62
460086.0,7,-94,466
444379.0,3,-42,130
501896.0,5,-35,202
543939.0,4,-40,272
545341.0,8,-117,443
576397.0,6,-10,95
572039.0,9,-127,520
572761.0,5,-18,120
474568.0,6,-30,487
457705.0,8,-169,614
516782.0,7,-85,419
543281.0,4,-30,415
407812.0,7,-84,261
570256.0,9,-138,423
446481.0,3,-2,48
543543.0,6,-35,308
519306.0,9,-84,430
595281.0,8,-105,471
453064.0,6,-12,440
430832.0,9,-85,329
499624.0,3,0,11
489149.0,3,-13,121
518626.0,5,-65,371
607680.0,8,-120,608
572365.0,4,-11,109
523253.0,4,-11,320
457775.0,7,-18,111
,8,-81,193
,9,-52,198
,3,-14,83
476704.0,4,-12,259
592192.0,3,0,10
594809.0,9,-73,507
457706.0,8,-23,223
502143.0,5,-30,183
542993.0,8,-101,326
502210.0,9,-81,394
501981.0,7,-67,369
543760.0,6,-70,592
543434.0,4,-41,301
276519.0,6,-17,106
466320.0,7,-128,561
547989.0,3,-21,271
605113.0,6,-25,297
571875.0,5,-90,357
467827.0,7,-67,225
596115.0,6,-25,340
516416.0,4,-51,421
502671.0,3,-28,327
444482.0,9,-38,159
453568.0,8,-194,584
471865.0,9,-164,569
572008.0,8,-76,210
518934.0,4,-29,464
630111.0,7,-73,196
571448.0,5,-81,482
593647.0,7,0,14
542436.0,4,-4,16
425834.0,7,-101,400
605486.0,4,5,46
445055.0,8,-67,308
624577.0,9,-85,293
608369.0,6,-63,460
461314.0,9,-131,358
571976.0,3,-21,271
457759.0,5,-50,318
493351.0,6,-58,385
400284.0,4,-46,338
408307.0,7,-27,61
592626.0,8,-97,460
500208.0,5,-52,241
572204.0,9,-27,66
475100.0,3,-3,11
571771.0,7,-10,80
429666.0,6,-19,355
621439.0,8,-113,481
593934.0,9,-29,145
592696.0,7,-59,220
408045.0,3,-17,168
444432.0,9,-152,347
592518.0,5,-50,336
430945.0,8,-108,633
500871.0,6,-20,222
448801.0,3,-59,302
570731.0,4,-17,494
461858.0,5,-35,161
572821.0,4,-48,479
572073.0,7,-19,115
,6,-8,179
,7,-46,194
594807.0,7,-118,536
458015.0,3,-55,275
546318.0,8,-145,691
,5,-44,123
501986.0,7,-8,31
571740.0,8,-81,474
488721.0,9,-121,367
520471.0,6,-30,504
553993.0,5,-73,385
514917.0,4,-22,440
408252.0,4,-44,413
457803.0,9,-143,560
446359.0,6,-42,389
596748.0,5,-64,326
534627.0,7,-17,35
570267.0,9,-60,210
542340.0,6,-69,405
431094.0,5,-25,201
434636.0,7,-152,458
452655.0,8,-182,561
543063.0,6,-18,494
571697.0,4,-53,424
460075.0,7,-125,456
474892.0,3,-34,272
452254.0,9,-110,394
542979.0,8,-65,268
474832.0,3,-46,281
622110.0,5,-34,196
605412.0,4,-20,394
595023.0,7,-4,2
570717.0,8,-32,81
501303.0,6,-4,34
596059.0,4,-56,483
462101.0,6,-32,518
519048.0,3,-47,205
429664.0,4,-10,472
572122.0,5,-43,497
134181.0,5,-43,408
443558.0,9,-34,155
493114.0,7,-79,345
606466.0,6,-35,377
547982.0,8,-126,625
425783.0,9,-42,164
435622.0,7,-24,95
452234.0,7,-41,125
452252.0,3,-27,136
459431.0,7,-102,335
446334.0,5,-56,357
542255.0,8,-94,599
430947.0,6,-47,325
519184.0,8,-57,273
502517.0,4,-22,319
457787.0,6,-48,480
