last_name,first_name,position,total_bases,opportunities,percentage,player_id
cain,lorenzo,8,-83,347,-0.239,456715
walker,neil,4,-26,341,-0.076,435522
fuentes,rey,9,-20,36,-0.556,571681
granderson,curtis,9,-142,424,-0.335,434158
infante,omar,4,-22,120,-0.183,408299
lagares,juan,8,-6,158,-0.038,501571
wong,kolten,4,-42,272,-0.154,543939
grichuk,randal,8,-126,443,-0.284,545341
piscotty,stephen,9,-176,520,-0.338,572039
mccutchen,andrew,8,-163,614,-0.265,457705
harrison,josh,4,-34,415,-0.082,543281
polanco,gregory,9,-178,423,-0.421,570256
souza,steven,9,-114,430,-0.265,519306
kiermaier,kevin,8,-101,471,-0.214,595281
bautista,jose,9,-101,329,-0.307,430832
pillar,kevin,8,-121,608,-0.199,607680
goins,ryan,4,-10,109,-0.092,572365
forsythe,logan,4,-9,320,-0.028,523253
lowrie,jed,4,-15,259,-0.058,476704
eaton,adam,9,-103,507,-0.203,594809
jackson,austin,8,-40,223,-0.179,457706
burns,billy,8,-103,326,-0.316,542993
reddick,josh,9,-105,394,-0.266,502210
lawrie,brett,4,-40,301,-0.133,543434
segura,jean,4,-55,421,-0.131,516416
peralta,david,9,-45,159,-0.283,444482
blackmon,charlie,8,-205,584,-0.351,453568
gonzalez,carlos,9,-247,569,-0.434,471865
owings,chris,8,-81,210,-0.386,572008
lemahieu,dj,4,-36,464,-0.078,518934
adames,cristhian,4,-5,16,-0.312,542436
spangenberg,cory,4,1,46,0.022,605486
jay,jon,8,-80,308,-0.26,445055
puig,yasiel,9,-94,293,-0.321,624577
kemp,matt,9,-165,358,-0.461,461314
utley,chase,4,-42,338,-0.124,400284
pederson,joc,8,-94,460,-0.204,592626
thompson,trayce,9,-30,66,-0.455,572204
buxton,byron,8,-115,481,-0.239,621439
sano,miguel,9,-37,145,-0.255,593934
trumbo,mark,9,-192,347,-0.553,444432
jones,adam,8,-107,633,-0.169,430945
schoop,jonathan,4,-16,494,-0.032,570731
dozier,brian,4,-47,479,-0.098,572821
herrera,odubel,8,-142,691,-0.205,546318
hamilton,billy,8,-83,474,-0.175,571740
bourjos,peter,9,-149,367,-0.406,488721
hernandez,cesar,4,-25,440,-0.057,514917
phillips,brandon,4,-46,413,-0.111,408252
bruce,jay,9,-197,560,-0.352,457803
santana,domingo,9,-73,210,-0.348,570267
span,denard,8,-181,561,-0.323,452655
gennett,scooter,4,-53,424,-0.125,571697
pence,hunter,9,-132,394,-0.335,452254
broxton,keon,8,-57,268,-0.213,542979
panik,joe,4,-32,394,-0.081,605412
flores,ramon,8,-34,81,-0.42,570717
odor,rougned,4,-63,483,-0.13,596059
cano,robinson,4,-14,472,-0.03,429664
cruz,nelson,9,-52,155,-0.335,443558
martin,leonys,8,-132,625,-0.211,547982
choo,shin-soo,9,-63,164,-0.384,425783
inciarte,ender,8,-114,599,-0.19,542255
revere,ben,8,-63,273,-0.231,519184
murphy,daniel,4,-27,319,-0.085,502517
markakis,nick,9,-267,616,-0.433,455976
harper,bryce,9,-175,511,-0.342,547180
beckham,gordon,4,-8,134,-0.06,493596
calhoun,kole,9,-249,640,-0.389,594777
trout,mike,8,-136,650,-0.209,545361
fowler,dexter,8,-86,395,-0.218,451594
zobrist,ben,4,-14,302,-0.046,450314
heyward,jason,9,-76,383,-0.198,518792
giavotella,johnny,4,-12,235,-0.051,543213
cowgill,collin,9,-4,19,-0.211,518577
bradley,jackie,8,-199,694,-0.287,598265
davis,rajai,8,-78,285,-0.274,434658
kipnis,jason,4,-34,465,-0.073,543401
pedroia,dustin,4,-30,405,-0.074,456030
betts,mookie,9,-156,609,-0.256,605141
naquin,tyler,8,-127,385,-0.33,571980
byrd,marlon,9,-12,56,-0.214,407781
ellsbury,jacoby,8,-137,506,-0.271,453056
altuve,jose,4,-39,433,-0.09,514888
castro,starlin,4,-28,447,-0.063,516770
gomez,carlos,8,-133,362,-0.367,460576
beltran,carlos,9,-43,210,-0.205,136860
crisp,coco,8,-48,135,-0.356,424825
brito,socrates,8,-18,57,-0.316,593647
stanton,giancarlo,9,-92,432,-0.213,519317
ozuna,marcell,8,-68,539,-0.126,542303
gordon,dee,4,-25,215,-0.116,543829
martinez,j. d.,9,-109,426,-0.256,502110
gose,anthony,8,-25,132,-0.189,543238
kinsler,ian,4,-30,522,-0.057,435079
deshields,delino,8,-13,146,-0.089,592261
gutierrez,franklin,9,-40,189,-0.212,429711
cespedes,yoenis,8,-61,234,-0.261,493316
canha,mark,9,3,5,0.6,592192
barnes,brandon,8,-3,25,-0.12,488681
springer,george,9,-82,597,-0.137,543807
de jesus,ivan,4,1,32,0.031,474443
blanco,gregor,8,-20,66,-0.303,453923
desmond,ian,8,-97,624,-0.155,435622
hazelbaker,jeremy,8,-4,66,-0.061,571757
barney,darwin,4,1,104,0.01,446381
taylor,michael,8,-24,231,-0.104,572191
peterson,jace,4,-34,273,-0.125,607054
coghlan,chris,4,-15,57,-0.263,458085
eaton,adam,8,-42,231,-0.182,594809
garcia,avisail,9,-19,178,-0.107,541645
hicks,aaron,9,-31,203,-0.153,543305
santana,danny,9,-4,17,-0.235,542454
rickard,joey,8,-3,23,-0.13,572073
pacheco,jordan,4,0,6,0.0,457574
schebler,scott,8,-23,65,-0.354,594988
coghlan,chris,9,-16,50,-0.32,458085
hunter,cedric,9,-5,8,-0.625,501986
bourjos,peter,8,-4,24,-0.167,488721
stubbs,drew,8,-11,49,-0.224,453211
castillo,rusney,8,2,4,0.5,628329
shuck,jb,9,0,4,0.0,543776
nieuwenhuis,kirk,8,-57,309,-0.184,543590
hernandez,enrique,4,-3,18,-0.167,571771
thompson,trayce,8,-26,98,-0.265,572204
tomlinson,kelby,4,-9,46,-0.196,605509
adrianza,ehire,4,0,8,0.0,501303
johnson,micah,4,0,3,0.0,608672
orlando,paulo,9,-54,311,-0.174,449181
santana,danny,8,-53,202,-0.262,542454
arcia,oswaldo,9,-25,161,-0.155,542455
jankowski,travis,9,-1,27,-0.037,608671
rua,ryan,9,-2,9,-0.222,607387
gosselin,philip,4,-2,62,-0.032,594838
heyward,jason,8,-7,91,-0.077,518792
bryant,kris,9,-10,34,-0.294,592178
rivera,yadiel,4,2,29,0.069,592680
rasmus,colby,8,-15,58,-0.259,458675
colon,christian,4,0,98,0.0,518568
kepler,max,9,-62,428,-0.145,596146
johnson,kelly,4,-29,119,-0.244,430637
mazara,nomar,9,-49,418,-0.117,608577
alberto,hanser,4,-1,11,-0.091,593643
pennington,cliff,4,9,107,0.084,460060
smith,mallex,8,-14,165,-0.085,605480
reimold,nolan,9,-10,66,-0.152,460099
suzuki,ichiro,9,-20,149,-0.134,400085
collins,tyler,8,-28,117,-0.239,607385
smith,seth,9,-25,204,-0.123,452234
kendrick,howie,4,-13,68,-0.191,435062
hernandez,enrique,8,-7,58,-0.121,571771
gyorko,jedd,4,-4,135,-0.03,576397
drury,brandon,9,-33,96,-0.344,592273
guyer,brandon,9,-2,50,-0.04,446386
suzuki,ichiro,8,-4,47,-0.085,400085
flores,wilmer,4,-9,49,-0.184,527038
hazelbaker,jeremy,9,-3,11,-0.273,571757
barnes,austin,4,3,8,0.375,605131
den dekker,matt,8,-2,18,-0.111,544925
kepler,max,8,2,10,0.2,596146
blash,jabari,9,-8,59,-0.136,518466
parra,gerardo,8,-12,33,-0.364,467827
beckham,tim,4,-4,48,-0.083,542921
guyer,brandon,8,-16,84,-0.19,446386
dickerson,corey,9,-1,4,-0.25,572816
rosario,eddie,8,-16,168,-0.095,592696
nunez,eduardo,4,-6,10,-0.6,456488
de aza,alejandro,8,-25,131,-0.191,457477
burriss,emmanuel,4,-1,4,-0.25,502034
den dekker,matt,9,0,8,0.0,544925
drew,stephen,4,-5,54,-0.093,452220
amarista,alexi,4,-10,58,-0.172,506560
peralta,david,8,-8,28,-0.286,444482
castro,daniel,4,-3,38,-0.079,593495
baez,javier,4,-23,159,-0.145,595879
szczur,matt,9,-2,29,-0.069,519333
davis,rajai,9,-1,2,-0.5,434658
upton,b. j.,8,-31,127,-0.244,425834
tomas,yasmany,9,-95,327,-0.291,630111
jankowski,travis,8,-40,374,-0.107,608671
owings,chris,4,0,1,0.0,572008
garcia,greg,4,-10,63,-0.159,594824
marisnick,jake,8,-41,304,-0.135,545350
marte,starling,8,-10,51,-0.196,516782
hernandez,marco,4,1,15,0.067,593523
heisey,chris,8,-2,5,-0.4,502317
carrera,ezequiel,9,-20,162,-0.123,485567
dyson,jarrod,9,-1,84,-0.012,502481
hicks,aaron,8,-4,88,-0.045,543305
rosales,adam,4,6,61,0.098,489267
lough,david,9,1,32,0.031,518953
blanco,andres,4,-7,45,-0.156,433217
blanco,gregor,9,-34,97,-0.351,453923
weeks,jemile,4,-9,59,-0.153,457789
polanco,gregory,8,-2,15,-0.133,570256
chisenhall,lonnie,9,-81,388,-0.209,502082
francoeur,jeff,9,-7,66,-0.106,425796
presley,alex,8,0,12,0.0,502100
dietrich,derek,4,-8,200,-0.04,518618
holt,tyler,8,-29,130,-0.223,534627
joyce,matthew,9,-36,107,-0.336,459964
rickard,joey,9,-51,151,-0.338,572073
soler,jorge,9,-3,9,-0.333,624585
aviles,mike,4,-1,26,-0.038,449107
presley,alex,9,-3,63,-0.048,502100
goeddel,tyler,9,-1,32,-0.031,595963
heisey,chris,9,-10,40,-0.25,502317
ladendorf,tyler,4,-7,56,-0.125,502285
rodriguez,sean,4,-7,67,-0.104,446481
pearce,steve,4,-7,42,-0.167,456665
carrera,ezequiel,8,-7,16,-0.438,485567
duvall,adam,9,-9,17,-0.529,594807
holt,tyler,9,-11,38,-0.289,534627
ortega,rafael,8,1,17,0.059,542364
gentry,craig,8,-2,4,-0.5,502226
ackley,dustin,9,-1,15,-0.067,554429
diaz,aledmys,4,0,1,0.0,649557
aoki,nori,8,-5,60,-0.083,493114
young,chris,9,0,8,0.0,455759
rutledge,josh,4,1,5,0.2,592710
de aza,alejandro,9,-7,35,-0.2,457477
dyson,jarrod,8,-56,260,-0.215,502481
piscotty,stephen,8,-11,40,-0.275,572039
moss,brandon,9,-3,61,-0.049,461235
aybar,erick,4,-1,9,-0.111,430947
parra,gerardo,9,-9,57,-0.158,467827
drury,brandon,4,-3,31,-0.097,592273
hill,aaron,4,2,64,0.031,431094
rojas,miguel,4,-8,54,-0.148,500743
hernandez,enrique,9,1,10,0.1,571771
sardinas,luis,4,3,11,0.273,596143
gillespie,cole,9,-7,14,-0.5,502261
lagares,juan,9,-4,8,-0.5,501571
brignac,reid,4,-1,6,-0.167,458582
zobrist,ben,9,-21,60,-0.35,450314
d'arnaud,chase,9,0,2,0.0,488818
la stella,tommy,4,0,13,0.0,600303
kalish,ryan,9,0,4,0.0,501888
gonzalez,marwin,4,-7,31,-0.226,503556
romine,andrew,8,-16,64,-0.25,461865
gamel,ben,9,-3,38,-0.079,592325
braun,ryan,9,0,1,0.0,460075
aviles,mike,9,-11,79,-0.139,449107
chisenhall,lonnie,8,-2,6,-0.333,502082
