last_name,first_name,position,total_bases,opportunities,percentage,player_id
heyward,jason,8,-10,39,-0.256,518792
fowler,dexter,8,-23,432,-0.053,451594
ellsbury,jacoby,8,13,325,0.04,453056
kiermaier,kevin,8,70,425,0.165,595281
pollock,a. j.,8,-7,431,-0.016,572041
span,denard,8,-93,545,-0.171,452655
granderson,curtis,8,-34,226,-0.15,434158
inciarte,ender,8,-55,786,-0.07,542255
naquin,tyler,8,-14,23,-0.609,571980
gomez,carlos,8,-3,469,-0.006,460576
blackmon,charlie,8,-31,692,-0.045,453568
broxton,keon,8,-35,494,-0.071,542979
buxton,byron,8,-10,662,-0.015,621439
cain,lorenzo,8,11,787,0.014,456715
trout,mike,8,9,444,0.02,545361
davis,rajai,8,0,281,0.0,434658
eaton,adam,8,-14,93,-0.151,594809
yelich,christian,8,-32,679,-0.047,592885
hamilton,billy,8,2,589,0.003,571740
herrera,odubel,8,-22,602,-0.037,546318
bradley,jackie,8,-34,568,-0.06,598265
marte,starling,8,-10,99,-0.101,516782
margot,manuel,8,-10,513,-0.019,622534
pederson,joc,8,-49,277,-0.177,592626
springer,george,8,-20,269,-0.074,543807
martin,leonys,8,-1,77,-0.013,547982
jones,adam,8,-5,639,-0.008,430945
pillar,kevin,8,32,589,0.054,607680
may,jacob,8,1,36,0.028,594576
jones,jacoby,8,-13,244,-0.053,592444
jackson,austin,8,-30,122,-0.246,457706
hernandez,enrique,8,-4,78,-0.051,571771
hernandez,gorkys,8,-22,215,-0.102,491676
almora,albert,8,-13,306,-0.042,546991
nieuwenhuis,kirk,8,-8,18,-0.444,543590
marisnick,jake,8,-22,242,-0.091,545350
jay,jon,8,-14,153,-0.092,445055
perez,hernan,8,-6,35,-0.171,541650
garcia,leury,8,-23,217,-0.106,544725
dyson,jarrod,8,24,389,0.062,502481
alcantara,arismendy,8,-2,23,-0.087,570489
hazelbaker,jeremy,8,-4,12,-0.333,571757
toles,andrew,8,0,32,0.0,592808
van slyke,scott,8,0,1,0.0,475100
romine,andrew,8,-17,102,-0.167,461865
selsky,steve,8,-2,8,-0.25,592731
grichuk,randal,8,-2,11,-0.182,545341
conforto,michael,8,-16,156,-0.103,624424
hicks,aaron,8,24,194,0.124,543305
benintendi,andrew,8,-17,130,-0.131,643217
altherr,aaron,8,-9,59,-0.153,571437
rosario,eddie,8,-6,38,-0.158,592696
chisenhall,lonnie,8,-3,79,-0.038,502082
thompson,trayce,8,-1,22,-0.045,572204
lagares,juan,8,-11,305,-0.036,501571
revere,ben,8,0,14,0.0,519184
bourjos,peter,8,10,91,0.11,488721
decker,jaff,8,2,56,0.036,543094
maybin,cameron,8,18,207,0.087,457727
taylor,michael,8,-45,483,-0.093,572191
gentry,craig,8,-5,17,-0.294,502226
kepler,max,8,8,51,0.157,596146
mccutchen,andrew,8,-44,535,-0.082,457705
jankowski,travis,8,1,10,0.1,608671
eibner,brett,8,-1,11,-0.091,518649
schebler,scott,8,-4,59,-0.068,594988
collins,tyler,8,-8,120,-0.067,607385
souza,steven,8,-6,11,-0.545,519306
reddick,josh,8,-6,28,-0.214,502210
bonifacio,jorge,8,0,2,0.0,593528
polanco,gregory,8,0,19,0.0,570256
stubbs,drew,8,-11,30,-0.367,453211
deshields,delino,8,-6,200,-0.03,592261
lamarre,ryan,8,1,4,0.25,534606
rickard,joey,8,-2,56,-0.036,572073
heredia,guillermo,8,23,281,0.082,628338
almonte,abraham,8,1,28,0.036,501659
mahtook,mikie,8,-14,329,-0.043,543484
amarista,alexi,8,-3,8,-0.375,506560
pham,tommy,8,2,144,0.014,502054
adams,lane,8,-5,31,-0.161,572669
suzuki,ichiro,8,1,38,0.026,400085
blanco,gregor,8,-28,110,-0.255,453923
sierra,magneuris,8,-2,15,-0.133,642423
garcia,willy,8,-3,44,-0.068,591994
goodwin,brian,8,-28,131,-0.214,571718
bryant,kris,8,0,2,0.0,592178
martinez,michael,8,-2,6,-0.333,492841
gordon,alex,8,2,29,0.069,460086
ruggiano,justin,8,2,3,0.667,448605
szczur,matt,8,2,58,0.034,519333
parra,gerardo,8,0,2,0.0,467827
happ,ian,8,-4,146,-0.027,664023
canha,mark,8,-1,68,-0.015,592192
