last_name,first_name,position,total_bases,opportunities,percentage,player_id
cron,c. j.,3,-23,115,-0.2,543068
betts,mookie,9,-60,412,-0.146,605141
gomez,carlos,9,-79,345,-0.229,460576
bour,justin,3,-25,164,-0.152,571506
cooper,garrett,9,-8,9,-0.889,643265
heyward,jason,9,-95,397,-0.239,518792
rizzo,anthony,3,-21,259,-0.081,519203
soler,jorge,9,-77,223,-0.345,624585
garcia,avisail,9,-97,367,-0.264,541645
abreu,jose,3,-33,238,-0.139,547989
chisenhall,lonnie,9,-41,91,-0.451,502082
haniger,mitch,9,-138,539,-0.256,571745
alonso,yonder,3,-31,231,-0.134,475174
healy,ryon,3,-19,214,-0.089,592387
gonzalez,carlos,9,-102,441,-0.231,471865
desmond,ian,3,-21,242,-0.087,435622
goldschmidt,paul,3,-26,271,-0.096,502671
dyson,jarrod,9,-13,51,-0.255,502481
gallo,joey,3,-12,61,-0.197,608336
mazara,nomar,9,-135,437,-0.309,608577
springer,george,9,-48,200,-0.24,543807
olson,matt,3,-36,333,-0.108,621566
pujols,albert,3,-20,118,-0.169,405395
calhoun,kole,9,-114,469,-0.243,594777
piscotty,stephen,9,-138,522,-0.264,572039
marte,jefry,3,-18,77,-0.234,527043
myers,wil,9,-9,39,-0.231,571976
braun,ryan,3,-9,23,-0.391,460075
hosmer,eric,3,-13,283,-0.046,543333
santana,domingo,9,-65,175,-0.371,570267
gentry,craig,9,-4,75,-0.053,502226
kepler,max,9,-81,393,-0.206,596146
mauer,joe,3,-33,156,-0.212,408045
davis,chris,3,-31,212,-0.146,448801
austin,tyler,3,-8,52,-0.154,592122
smoak,justin,3,-16,224,-0.071,475253
walker,neil,3,-3,73,-0.041,435522
grichuk,randal,9,-90,343,-0.262,545341
judge,aaron,9,-80,330,-0.242,592450
markakis,nick,9,-150,604,-0.248,455976
santana,carlos,3,-26,278,-0.094,467793
williams,nick,9,-121,320,-0.378,608384
puig,yasiel,9,-96,366,-0.262,624577
bellinger,cody,3,-8,141,-0.057,641355
mccutchen,andrew,9,-202,542,-0.373,457705
martinez,jose,3,-20,122,-0.164,500874
bruce,jay,9,-97,253,-0.383,457803
fowler,dexter,9,-113,301,-0.375,451594
bell,josh,3,-47,226,-0.208,605137
cabrera,miguel,3,-12,52,-0.231,408234
castellanos,nick,9,-136,561,-0.242,592206
polanco,gregory,9,-124,473,-0.262,570256
schebler,scott,9,-93,306,-0.304,594988
votto,joey,3,-44,300,-0.147,458015
harper,bryce,9,-132,339,-0.389,547180
zimmerman,ryan,3,-24,154,-0.156,475582
miller,brad,3,-5,61,-0.082,543543
ramirez,hanley,3,1,35,0.029,434670
zobrist,ben,9,-34,188,-0.181,450314
maybin,cameron,9,-35,79,-0.443,457727
dietrich,derek,3,-4,52,-0.077,518618
owings,chris,9,-25,114,-0.219,572008
reddick,josh,9,-106,355,-0.299,502210
gonzalez,marwin,3,-3,31,-0.097,503556
altherr,aaron,9,-43,165,-0.261,571437
freeman,freddie,3,-37,314,-0.118,518692
belt,brandon,3,-24,206,-0.117,474832
moreland,mitch,3,-12,182,-0.066,519048
jay,jon,9,-73,220,-0.332,445055
duda,lucas,3,-12,129,-0.093,446263
davis,j. d.,3,-2,17,-0.118,605204
renfroe,hunter,9,-54,194,-0.278,592669
thames,eric,3,-2,53,-0.038,519346
rasmus,colby,9,-5,28,-0.179,458675
stanton,giancarlo,9,-19,129,-0.147,519317
gonzalez,adrian,3,-8,83,-0.096,408236
adams,matt,3,-13,122,-0.107,571431
winker,jesse,9,-67,148,-0.453,608385
goodrum,niko,3,-10,40,-0.25,592348
cooper,garrett,3,-5,10,-0.5,643265
rojas,miguel,3,-3,29,-0.103,500743
morrison,logan,3,-13,86,-0.151,489149
flores,wilmer,3,-14,135,-0.104,527038
yelich,christian,9,-70,229,-0.306,592885
choo,shin-soo,9,-43,124,-0.347,425783
santander,anthony,9,-26,118,-0.22,623993
martinez,j. d.,9,-28,109,-0.257,502110
mcmahon,ryan,3,1,22,0.045,641857
cuthbert,cheslor,3,-1,8,-0.125,596144
posey,buster,3,-7,28,-0.25,457763
valencia,danny,3,0,2,0.0,502143
guyer,brandon,9,-24,157,-0.153,446386
gonzalez,erik,3,-1,8,-0.125,570481
pirela,jose,9,-1,20,-0.05,517369
valaika,pat,3,-6,17,-0.353,642162
hernandez,enrique,3,-1,10,-0.1,571771
vogelbach,dan,3,-1,23,-0.043,596129
smith,mallex,9,-21,120,-0.175,605480
pinder,chad,9,-9,19,-0.474,640461
aguilar,jesus,3,-20,234,-0.085,542583
ervin,phil,9,-27,102,-0.265,640447
parra,gerardo,9,-9,39,-0.231,467827
kingery,scott,9,-6,8,-0.75,664068
mancini,trey,3,-11,88,-0.125,641820
caratini,victor,3,-1,19,-0.053,605170
duvall,adam,3,-3,17,-0.176,594807
frazier,adam,9,-13,44,-0.295,624428
merrifield,whit,9,-6,39,-0.154,593160
davis,rajai,9,0,3,0.0,434658
hoskins,rhys,3,-2,29,-0.069,656555
lee,braxton,9,3,10,0.3,657658
grossman,robbie,9,-44,179,-0.246,543257
naquin,tyler,9,-24,127,-0.189,571980
sandoval,pablo,3,-8,35,-0.229,467055
valbuena,luis,3,-5,35,-0.143,472528
