last_name,first_name,position,total_bases,opportunities,percentage,player_id
bogaerts,xander,6,-33,420,-0.079,593428
hechavarria,adeiny,6,2,241,0.008,588751
russell,addison,6,-36,409,-0.088,608365
rojas,miguel,6,-22,274,-0.08,500743
rivera,yadiel,6,-4,43,-0.093,592680
anderson,tim,6,-41,521,-0.079,641313
escobar,alcides,6,-49,313,-0.157,444876
segura,jean,6,-29,475,-0.061,516416
lindor,francisco,6,-71,487,-0.146,596019
ahmed,nick,6,5,474,0.011,605113
story,trevor,6,-40,496,-0.081,596115
correa,carlos,6,-33,324,-0.102,621043
andrus,elvis,6,-14,320,-0.044,462101
semien,marcus,6,-43,580,-0.074,543760
simmons,andrelton,6,-40,454,-0.088,592743
arcia,orlando,6,-25,334,-0.075,606115
galvis,freddy,6,-11,492,-0.022,520471
machado,manny,6,-62,469,-0.132,592518
escobar,eduardo,6,-10,56,-0.179,500871
gregorius,didi,6,-5,409,-0.012,544369
diaz,aledmys,6,-5,278,-0.018,649557
swanson,dansby,6,-24,416,-0.058,621020
crawford,j. p.,6,-12,87,-0.138,641487
seager,corey,6,-12,82,-0.146,608369
crawford,brandon,6,-18,523,-0.034,543063
dejong,paul,6,-37,371,-0.1,657557
rosario,amed,6,-37,437,-0.085,642708
mercer,jordy,6,-43,355,-0.121,474568
iglesias,jose,6,-22,400,-0.055,578428
turner,trea,6,-43,522,-0.082,607208
peraza,jose,6,-44,486,-0.091,606299
baez,javier,6,-23,202,-0.114,595879
ngoepe,gift,6,-1,8,-0.125,547912
sogard,eric,6,-7,51,-0.137,519299
adrianza,ehire,6,-12,173,-0.069,501303
hernandez,enrique,6,-10,50,-0.2,571771
tomlinson,kelby,6,-1,33,-0.03,605509
profar,jurickson,6,-32,202,-0.158,595777
gonzalez,marwin,6,-17,87,-0.195,503556
pennington,cliff,6,-2,3,-0.667,460060
goodrum,niko,6,-4,23,-0.174,592348
rodriguez,sean,6,-7,37,-0.189,446481
marte,ketel,6,-11,86,-0.128,606466
reyes,jose,6,-10,62,-0.161,408314
kingery,scott,6,-47,303,-0.155,664068
culberson,charlie,6,-2,44,-0.045,518586
difo,wilmer,6,-2,19,-0.105,594694
solarte,yangervis,6,1,16,0.062,500208
florimon,pedro,6,0,46,0.0,465753
torreyes,ronald,6,-1,24,-0.042,591720
holt,brock,6,-8,46,-0.174,571788
robertson,daniel,6,-11,83,-0.133,621002
lin,tzu-wei,6,-4,52,-0.077,624407
garcia,greg,6,-10,45,-0.222,594824
blandino,alex,6,3,22,0.136,607468
robinson,drew,6,-2,2,-1.0,592685
kiner-falefa,isiah,6,-2,8,-0.25,643396
cozart,zack,6,0,42,0.0,446359
gurriel,lourdes,6,-24,136,-0.176,666971
gonzalez,erik,6,-4,22,-0.182,570481
taylor,chris,6,-21,260,-0.081,621035
goins,ryan,6,0,2,0.0,572365
camargo,johan,6,-7,51,-0.137,622666
petit,gregorio,6,2,21,0.095,463610
romine,andrew,6,-5,43,-0.116,461865
peterson,jace,6,-2,5,-0.4,607054
villanueva,christian,6,-1,5,-0.2,570799
kozma,pete,6,3,33,0.091,518902
urshela,gio,6,-6,18,-0.333,570482
urena,richard,6,-3,50,-0.06,620446
saladino,tyler,6,-6,90,-0.067,573135
sanchez,carlos,6,1,6,0.167,570560
gyorko,jedd,6,-4,9,-0.444,576397
valentin,jesmuel,6,0,4,0.0,621044
munoz,yairo,6,-14,97,-0.144,622168
rondon,jose,6,-2,16,-0.125,602922
adames,willy,6,-17,199,-0.085,642715
alberto,hanser,6,0,13,0.0,593643
martin,russell,6,0,2,0.0,431145
riddle,jt,6,-20,276,-0.072,595375
bregman,alex,6,-22,70,-0.314,608324
pinder,chad,6,-2,13,-0.154,640461
torres,gleyber,6,-2,53,-0.038,650402
wendle,joey,6,-2,34,-0.059,621563
hanson,alen,6,-2,37,-0.054,593700
fontana,nolan,6,-2,5,-0.4,545337
perez,hernan,6,-5,41,-0.122,541650
mondesi,adalberto,6,-31,216,-0.144,609275
motter,taylor,6,0,5,0.0,600301
miller,brad,6,0,8,0.0,543543
barreto,franklin,6,-1,5,-0.2,620439
fletcher,david,6,-5,11,-0.455,664058
polanco,jorge,6,-28,235,-0.119,593871
orf,nate,6,-1,2,-0.5,644337
garcia,leury,6,0,16,0.0,544725
valaika,pat,6,-2,10,-0.2,642162
beckham,tim,6,-16,158,-0.101,542921
wade,tyler,6,-2,4,-0.5,642180
moroff,max,6,-1,10,-0.1,621559
rodriguez,ronny,6,-18,74,-0.243,500135
beckham,gordon,6,-2,10,-0.2,493596
hampson,garrett,6,-2,16,-0.125,641658
cabrera,asdrubal,6,-1,64,-0.016,452678
drury,brandon,6,0,3,0.0,592273
schoop,jonathan,6,2,27,0.074,570731
villar,jonathan,6,-3,58,-0.052,542340
gordon,dee,6,-2,23,-0.087,543829
suarez,eugenio,6,0,5,0.0,553993
reinheimer,jack,6,3,7,0.429,595373
newman,kevin,6,-15,60,-0.25,621028
bote,david,6,2,4,0.5,623520
trahan,blake,6,0,6,0.0,664167
velazquez,andrew,6,0,5,0.0,623205
avelino,abiatal,6,-2,9,-0.222,623214
guerra,javy,6,-5,22,-0.227,642770
desmond,ian,6,0,1,0.0,435622
cowart,kaleb,6,0,11,0.0,592230
negron,kristopher,6,0,4,0.0,502117
castro,harold,6,1,7,0.143,605612
gurriel,yuli,6,0,3,0.0,493329
rosales,adam,6,0,1,0.0,489267
