last_name,first_name,position,total_bases,opportunities,percentage,player_id,bases_above_average,,,
myers,wil,3,-12,262,-0.046,571976,28.034,,3,-0.153
valencia,danny,3,-24,246,-0.098,502143,13.53,,4,-0.083
belt,brandon,3,-23,217,-0.106,474832,10.199,,5,-0.19
cron,c. j.,3,-21,198,-0.106,543068,9.306,,6,-0.105
santana,carlos,3,-33,261,-0.126,467793,7.047,,7,-0.239
gurriel,yuli,3,-29,231,-0.126,493329,6.237,,8,-0.237
abreu,jose,3,-35,265,-0.132,547989,5.565,,9,-0.294
moreland,mitch,3,-30,225,-0.133,519048,4.5,,,
napoli,mike,3,-19,152,-0.125,435063,4.256,,,
freeman,freddie,3,-24,184,-0.13,518692,4.232,,,
alonso,yonder,3,-28,208,-0.135,475174,3.744,,,
duda,lucas,3,-21,159,-0.132,446263,3.339,,,
reynolds,mark,3,-31,223,-0.139,448602,3.122,,,
mauer,joe,3,-31,218,-0.142,408045,2.398,,,
morrison,logan,3,-36,244,-0.148,489149,1.22,,,
rizzo,anthony,3,-41,271,-0.151,519203,0.542,,,
smoak,justin,3,-41,267,-0.154,475253,-0.267,,,
joseph,tommy,3,-31,193,-0.161,571830,-1.544,,,
hosmer,eric,3,-43,267,-0.161,543333,-2.136,,,
goldschmidt,paul,3,-44,271,-0.162,502671,-2.439,,,
adams,matt,3,-21,115,-0.183,571431,-3.45,,,
carpenter,matt,3,-38,225,-0.169,572761,-3.6,,,
votto,joey,3,-54,323,-0.167,458015,-4.522,,,
aguilar,jesus,3,-23,117,-0.197,542583,-5.148,,,
bour,justin,3,-32,166,-0.193,571506,-6.64,,,
davis,chris,3,-47,240,-0.196,448801,-10.32,,,
thames,eric,3,-41,195,-0.21,519346,-11.115,,,
zimmerman,ryan,3,-45,219,-0.205,475582,-11.388,,,
bellinger,cody,3,-36,158,-0.228,641355,-11.85,,,
cabrera,miguel,3,-46,184,-0.25,408234,-17.848,,,
bell,josh,3,-68,254,-0.268,605137,-29.21,,,
cano,robinson,4,10,394,0.025,429664,42.552,,,
lemahieu,dj,4,-5,523,-0.01,518934,38.179,,,
kinsler,ian,4,-2,423,-0.005,435079,32.994,,,
pedroia,dustin,4,13,227,0.057,456030,31.78,,,
schoop,jonathan,4,-22,499,-0.044,570731,19.461,,,
gordon,dee,4,-20,470,-0.043,543829,18.8,,,
sanchez,carlos,4,2,195,0.01,570560,18.135,,,
walker,neil,4,-2,236,-0.008,435522,17.7,,,
villar,jonathan,4,-7,297,-0.024,542340,17.523,,,
dozier,brian,4,-22,468,-0.047,572821,16.848,,,
albies,ozzie,4,4,143,0.028,645277,15.873,,,
kipnis,jason,4,-1,181,-0.006,543401,13.937,,,
altuve,jose,4,-18,381,-0.047,514888,13.716,,,
pennington,cliff,4,5,103,0.049,460060,13.596,,,
ramirez,jose,4,-3,199,-0.015,608070,13.532,,,
espinosa,danny,4,-6,213,-0.028,457787,11.715,,,
torreyes,ronald,4,0,141,0,591720,11.703,,,
peraza,jose,4,-6,194,-0.031,606299,10.088,,,
descalso,daniel,4,-2,124,-0.016,518614,8.308,,,
hernandez,cesar,4,-27,413,-0.065,514917,7.434,,,
solarte,yangervis,4,-8,180,-0.044,500208,7.02,,,
goins,ryan,4,-5,137,-0.036,572365,6.439,,,
zobrist,ben,4,-8,170,-0.047,450314,6.12,,,
miller,brad,4,-13,230,-0.057,543543,5.98,,,
robertson,daniel,4,-5,109,-0.046,621002,4.033,,,
lowrie,jed,4,-26,362,-0.072,476704,3.982,,,
asuaje,carlos,4,-15,223,-0.067,641319,3.568,,,
moncada,yoan,4,-14,181,-0.077,660162,1.086,,,
utley,chase,4,-13,165,-0.079,400284,0.66,,,
murphy,daniel,4,-33,393,-0.084,502517,-0.393,,,
odor,rougned,4,-44,514,-0.086,596059,-1.542,,,
gennett,scooter,4,-23,252,-0.091,571697,-2.016,,,
baez,javier,4,-18,165,-0.109,595879,-4.29,,,
phillips,brandon,4,-30,310,-0.097,408252,-4.34,,,
frazier,adam,4,-14,107,-0.131,624428,-5.136,,,
forsythe,logan,4,-23,199,-0.116,523253,-6.567,,,
harrison,josh,4,-28,246,-0.114,543281,-7.626,,,
sogard,eric,4,-20,114,-0.175,519299,-10.488,,,
drury,brandon,4,-38,330,-0.115,592273,-10.56,,,
wong,kolten,4,-37,306,-0.121,543939,-11.628,,,
barney,darwin,4,-29,208,-0.139,446381,-11.648,,,
castro,starlin,4,-39,280,-0.139,516770,-15.68,,,
merrifield,whit,4,-49,389,-0.126,593160,-16.727,,,
travis,devon,4,-30,141,-0.213,581527,-18.33,,,
panik,joe,4,-54,387,-0.14,605412,-22.059,,,
seager,kyle,5,-47,438,-0.107,572122,36.354,,,
freese,david,5,-26,299,-0.087,501896,30.797,,,
chapman,matt,5,-26,283,-0.092,656305,27.734,,,
arenado,nolan,5,-58,432,-0.134,571448,24.192,,,
gyorko,jedd,5,-28,270,-0.104,576397,23.22,,,
sanchez,carlos,5,-2,127,-0.016,570560,22.098,,,
longoria,evan,5,-57,381,-0.15,446334,15.24,,,
beltre,adrian,5,-22,192,-0.115,134181,14.4,,,
rendon,anthony,5,-52,342,-0.152,543685,12.996,,,
franco,maikel,5,-51,325,-0.157,596748,10.725,,,
suarez,eugenio,5,-61,373,-0.164,553993,9.698,,,
escobar,eduardo,5,-25,179,-0.14,500871,8.95,,,
valbuena,luis,5,-16,130,-0.123,472528,8.71,,,
bryant,kris,5,-60,356,-0.169,592178,7.476,,,
frazier,todd,5,-56,326,-0.172,453943,5.868,,,
moustakas,mike,5,-57,327,-0.174,519058,5.232,,,
sano,miguel,5,-37,211,-0.175,593934,3.165,,,
shaw,travis,5,-66,362,-0.182,543768,2.896,,,
ramirez,jose,5,-37,202,-0.183,608070,1.414,,,
turner,justin,5,-50,266,-0.188,457759,0.532,,,
urshela,gio,5,-20,106,-0.189,570482,0.106,,,
bregman,alex,5,-66,347,-0.19,608324,0,,,
plouffe,trevor,5,-32,164,-0.195,461858,-0.82,,,
marrero,deven,5,-20,100,-0.2,571918,-1,,,
headley,chase,5,-49,252,-0.194,452104,-1.008,,,
