last_name,first_name,position,total_bases,opportunities,percentage,player_id
fuentes,rey,9,-20,36,-0.556,571681
granderson,curtis,9,-109,424,-0.257,434158
hosmer,eric,3,-37,280,-0.132,543333
duda,lucas,3,-13,62,-0.21,446263
jaso,john,3,-34,130,-0.262,444379
piscotty,stephen,9,-104,520,-0.2,572039
polanco,gregory,9,-117,423,-0.277,570256
rodriguez,sean,3,-2,48,-0.042,446481
souza,steven,9,-74,430,-0.172,519306
bautista,jose,9,-79,329,-0.24,430832
colabello,chris,3,0,11,0.0,499624
morrison,logan,3,-13,121,-0.107,489149
canha,mark,3,1,10,0.1,592192
eaton,adam,9,-34,507,-0.067,594809
reddick,josh,9,-56,394,-0.142,502210
abreu,jose,3,-16,271,-0.059,547989
goldschmidt,paul,3,-23,327,-0.07,502671
peralta,david,9,-33,159,-0.208,444482
gonzalez,carlos,9,-154,569,-0.271,471865
puig,yasiel,9,-65,293,-0.222,624577
kemp,matt,9,-116,358,-0.324,461314
myers,wil,3,-13,271,-0.048,571976
thompson,trayce,9,-29,66,-0.439,572204
van slyke,scott,3,-3,11,-0.273,475100
sano,miguel,9,-25,145,-0.172,593934
mauer,joe,3,-17,168,-0.101,408045
trumbo,mark,9,-131,347,-0.378,444432
davis,chris,3,-56,302,-0.185,448801
votto,joey,3,-49,275,-0.178,458015
bourjos,peter,9,-94,367,-0.256,488721
bruce,jay,9,-105,560,-0.188,457803
santana,domingo,9,-43,210,-0.205,570267
carter,chris,3,-32,272,-0.118,474892
pence,hunter,9,-76,394,-0.193,452254
belt,brandon,3,-41,281,-0.146,474832
moreland,mitch,3,-47,205,-0.229,519048
cruz,nelson,9,-32,155,-0.206,443558
choo,shin-soo,9,-36,164,-0.22,425783
lind,adam,3,-27,136,-0.199,452252
zimmerman,ryan,3,-10,188,-0.053,475582
freeman,freddie,3,-18,296,-0.061,518692
markakis,nick,9,-169,616,-0.274,455976
harper,bryce,9,-120,511,-0.235,547180
calhoun,kole,9,-161,640,-0.252,594777
heyward,jason,9,-31,383,-0.081,518792
cron,c. j.,3,-33,170,-0.194,543068
rizzo,anthony,3,-38,269,-0.141,519203
cowgill,collin,9,-4,19,-0.211,518577
betts,mookie,9,-100,609,-0.164,605141
ramirez,hanley,3,-18,189,-0.095,434670
napoli,mike,3,-29,171,-0.17,435063
byrd,marlon,9,-8,56,-0.143,407781
teixeira,mark,3,-25,160,-0.156,407893
beltran,carlos,9,-68,210,-0.324,136860
gonzalez,marwin,3,-10,150,-0.067,503556
alonso,yonder,3,-16,278,-0.058,475174
paulsen,ben,3,1,28,0.036,572019
stanton,giancarlo,9,-132,432,-0.306,519317
cabrera,miguel,3,-25,262,-0.095,408234
martinez,j. d.,9,-140,426,-0.329,502110
rojas,miguel,3,2,27,0.074,500743
gonzalez,adrian,3,-18,227,-0.079,408236
gutierrez,franklin,9,-54,189,-0.286,429711
lee,dae-ho,3,-16,104,-0.154,493193
sardinas,luis,3,3,3,1.0,596143
smoak,justin,3,-17,136,-0.125,475253
moss,brandon,3,-21,84,-0.25,461235
canha,mark,9,3,5,0.6,592192
saladino,tyler,3,0,2,0.0,573135
reynolds,mark,3,-39,208,-0.188,448602
bour,justin,3,-13,100,-0.13,571506
springer,george,9,-121,597,-0.203,543807
white,tyler,3,-6,77,-0.078,643603
ruf,darin,3,-1,10,-0.1,573131
rua,ryan,3,-3,30,-0.1,607387
pearce,steve,3,-15,54,-0.278,456665
garcia,avisail,9,-29,178,-0.163,541645
hicks,aaron,9,-54,203,-0.266,543305
santana,danny,9,-7,17,-0.412,542454
howard,ryan,3,-21,150,-0.14,429667
encarnacion,edwin,3,-13,118,-0.11,429665
ackley,dustin,3,-2,24,-0.083,554429
coghlan,chris,9,-20,50,-0.4,458085
hunter,cedric,9,-3,8,-0.375,501986
choi,ji-man,3,0,37,0.0,596847
shaw,travis,3,-4,71,-0.056,543768
shuck,jb,9,0,4,0.0,543776
orlando,paulo,9,-59,311,-0.19,449181
arcia,oswaldo,9,-43,161,-0.267,542455
jankowski,travis,9,-2,27,-0.074,608671
adams,matt,3,-27,155,-0.174,571431
rua,ryan,9,-5,9,-0.556,607387
bryant,kris,9,-14,34,-0.412,592178
park,byung ho,3,-8,44,-0.182,666560
kepler,max,9,-113,428,-0.264,596146
mazara,nomar,9,-69,418,-0.165,608577
reimold,nolan,9,-5,66,-0.076,460099
