last_name,first_name,position,total_bases,opportunities,percentage,player_id
escobar,alcides,6,-33,493,-0.067,444876
cabrera,asdrubal,6,-19,382,-0.05,452678
gyorko,jedd,6,-9,95,-0.095,576397
mercer,jordy,6,-14,487,-0.029,474568
miller,brad,6,-29,308,-0.094,543543
tulowitzki,troy,6,-8,440,-0.018,453064
semien,marcus,6,-53,592,-0.09,543760
rollins,jimmy,6,-16,106,-0.151,276519
ahmed,nick,6,-18,297,-0.061,605113
story,trevor,6,-20,340,-0.059,596115
seager,corey,6,-56,460,-0.122,608369
ramirez,alexei,6,-53,385,-0.138,493351
hardy,j. j.,6,-21,355,-0.059,429666
escobar,eduardo,6,-12,222,-0.054,500871
galvis,freddy,6,-23,504,-0.046,520471
cozart,zack,6,-39,389,-0.1,446359
villar,jonathan,6,-65,405,-0.16,542340
crawford,brandon,6,-5,494,-0.01,543063
adrianza,ehire,6,-4,34,-0.118,501303
andrus,elvis,6,-17,518,-0.033,462101
marte,ketel,6,-16,377,-0.042,606466
aybar,erick,6,-36,325,-0.111,430947
espinosa,danny,6,-40,480,-0.083,457787
simmons,andrelton,6,-25,401,-0.062,592743
russell,addison,6,-15,461,-0.033,608365
lindor,francisco,6,-8,519,-0.015,596019
bogaerts,xander,6,-41,489,-0.084,593428
gregorius,didi,6,-43,478,-0.09,544369
correa,carlos,6,-31,501,-0.062,621043
lowrie,jed,6,0,1,0.0,476704
hechavarria,adeiny,6,-37,443,-0.084,588751
iglesias,jose,6,-32,467,-0.069,578428
diaz,aledmys,6,-26,329,-0.079,649557
alberto,hanser,6,0,31,0.0,593643
garcia,greg,6,-2,84,-0.024,594824
beckham,tim,6,-12,72,-0.167,542921
saladino,tyler,6,-7,99,-0.071,573135
de jesus,ivan,6,-12,89,-0.135,474443
machado,manny,6,-19,158,-0.12,592518
flores,wilmer,6,-7,16,-0.438,527038
drew,stephen,6,-2,21,-0.095,452220
sardinas,luis,6,-18,164,-0.11,596143
rivera,yadiel,6,-1,13,-0.077,592680
rojas,miguel,6,-9,102,-0.088,500743
torreyes,ronald,6,-5,34,-0.147,591720
amarista,alexi,6,1,20,0.05,506560
suarez,eugenio,6,-1,3,-0.333,553993
romine,andrew,6,-4,38,-0.105,461865
blanco,andres,6,-3,20,-0.15,433217
castro,daniel,6,-7,49,-0.143,593495
adames,cristhian,6,-9,133,-0.068,542436
tomlinson,kelby,6,-5,11,-0.455,605509
culberson,charlie,6,-4,18,-0.222,518586
nunez,eduardo,6,-15,171,-0.088,456488
baez,javier,6,-8,68,-0.118,595879
gonzalez,marwin,6,-1,22,-0.045,503556
owings,chris,6,1,227,0.004,572008
tejada,ruben,6,-2,16,-0.125,514913
holt,brock,6,-2,17,-0.118,571788
segura,jean,6,-2,58,-0.034,516416
goins,ryan,6,-4,82,-0.049,572365
rodriguez,sean,6,-9,58,-0.155,446481
aviles,mike,6,-4,11,-0.364,449107
sanchez,carlos,6,-1,9,-0.111,570560
pennington,cliff,6,2,44,0.045,460060
rosales,adam,6,2,33,0.061,489267
ryan,brendan,6,-1,18,-0.056,453895
petit,gregorio,6,-9,94,-0.096,463610
motter,taylor,6,-5,18,-0.278,600301
polanco,jorge,6,-11,161,-0.068,593871
o'malley,shawn,6,-8,97,-0.082,502523
janish,paul,6,0,4,0.0,457926
taylor,chris,6,-5,19,-0.263,621035
ramirez,jose,6,0,9,0.0,608070
reynolds,matt,6,-5,55,-0.091,608703
barney,darwin,6,0,67,0.0,446381
d'arnaud,chase,6,1,49,0.02,488818
beckham,gordon,6,-4,28,-0.143,493596
wolters,tony,6,-2,4,-0.5,547172
castro,starlin,6,3,6,0.5,516770
figueroa,cole,6,1,2,0.5,502676
turner,trea,6,0,2,0.0,607208
hernandez,enrique,6,-1,2,-0.5,571771
altuve,jose,6,-1,2,-0.5,514888
anderson,tim,6,-29,332,-0.087,641313
peraza,jose,6,1,88,0.011,606299
profar,jurickson,6,-2,28,-0.071,595777
worth,danny,6,1,3,0.333,519445
pena,ramiro,6,-2,9,-0.222,455369
colon,christian,6,0,2,0.0,518568
hernandez,marco,6,0,3,0.0,593523
perez,hernan,6,-3,7,-0.429,541650
santana,danny,6,0,10,0.0,542454
flaherty,ryan,6,-2,20,-0.1,475247
reyes,jose,6,1,33,0.03,408314
alcantara,arismendy,6,-1,6,-0.167,570489
hernandez,cesar,6,1,10,0.1,514917
difo,wilmer,6,0,11,0.0,594694
rondon,jose,6,-11,35,-0.314,602922
gonzalez,erik,6,0,6,0.0,570481
descalso,daniel,6,5,82,0.061,518614
arcia,orlando,6,-25,197,-0.127,606115
peralta,jhonny,6,1,15,0.067,425509
mondesi,adalberto,6,-1,8,-0.125,609275
freeman,mike,6,0,4,0.0,502273
johnson,kelly,6,0,1,0.0,430637
bregman,alex,6,-1,10,-0.1,608324
noonan,nick,6,-7,22,-0.318,519082
martinez,michael,6,0,11,0.0,492841
duffy,matt,6,3,52,0.058,622110
machado,dixon,6,0,16,0.0,553988
swanson,dansby,6,-23,111,-0.207,621020
pinder,chad,6,0,11,0.0,640461
marrero,deven,6,0,1,0.0,571918
franklin,nick,6,-6,11,-0.545,545338
florimon,pedro,6,1,3,0.333,465753
cecchini,gavin,6,-1,2,-0.5,608325
burriss,emmanuel,6,0,1,0.0,502034
perez,yefri,6,0,1,0.0,570639
valaika,pat,6,0,1,0.0,642162
