last_name,first_name,position,total_bases,opportunities,percentage,player_id
duffy,matt,5,-32,361,-0.089,622110
devers,rafael,5,-75,363,-0.207,646240
bryant,kris,5,-12,227,-0.053,592178
anderson,brian,5,-14,137,-0.102,605119
sanchez,carlos,5,-28,406,-0.069,570560
moustakas,mike,5,-36,367,-0.098,519058
seager,kyle,5,-47,443,-0.106,572122
ramirez,jose,5,-24,298,-0.081,608070
arenado,nolan,5,-48,433,-0.111,571448
lamb,jake,5,-20,138,-0.145,571875
beltre,adrian,5,-22,199,-0.111,134181
bregman,alex,5,-59,378,-0.156,608324
chapman,matt,5,-32,462,-0.069,656305
valbuena,luis,5,2,107,0.019,472528
headley,chase,5,-4,19,-0.211,452104
shaw,travis,5,-48,255,-0.188,543768
beckham,tim,5,-15,112,-0.134,542921
sano,miguel,5,-32,152,-0.211,593934
donaldson,josh,5,-15,83,-0.181,518626
drury,brandon,5,-8,34,-0.235,592273
franco,maikel,5,-34,302,-0.113,596748
longoria,evan,5,-41,299,-0.137,446334
forsythe,logan,5,-5,38,-0.132,523253
carpenter,matt,5,-36,198,-0.182,572761
frazier,todd,5,-30,303,-0.099,453943
candelario,jeimer,5,-52,364,-0.143,600869
moran,colin,5,-49,280,-0.175,592567
suarez,eugenio,5,-40,376,-0.106,553993
rendon,anthony,5,-26,308,-0.084,543685
cozart,zack,5,-12,81,-0.148,446359
spangenberg,cory,5,-17,92,-0.185,605486
solarte,yangervis,5,-18,195,-0.092,500208
kingery,scott,5,-7,21,-0.333,664068
flaherty,ryan,5,-3,69,-0.043,475247
nunez,eduardo,5,-15,109,-0.138,456488
villanueva,christian,5,-24,212,-0.113,570799
farmer,kyle,5,-3,38,-0.079,571657
sandoval,pablo,5,-15,74,-0.203,467055
freese,david,5,-7,123,-0.057,501896
gyorko,jedd,5,-26,175,-0.149,576397
garcia,greg,5,-5,19,-0.263,594824
munoz,yairo,5,-6,31,-0.194,622168
saladino,tyler,5,-4,11,-0.364,573135
marrero,deven,5,-2,62,-0.032,571918
robertson,daniel,5,4,37,0.108,621002
descalso,daniel,5,-15,71,-0.211,518614
andujar,miguel,5,-60,307,-0.195,609280
perez,hernan,5,-2,32,-0.062,541650
torreyes,ronald,5,-1,19,-0.053,591720
reynolds,matt,5,0,3,0.0,608703
profar,jurickson,5,-23,135,-0.17,595777
culberson,charlie,5,-4,33,-0.121,518586
gosselin,philip,5,-1,10,-0.1,594838
schimpf,ryan,5,0,2,0.0,572114
pennington,cliff,5,-7,18,-0.389,460060
blandino,alex,5,-10,24,-0.417,607468
robinson,drew,5,0,1,0.0,592685
escobar,eduardo,5,-49,317,-0.155,500871
marte,jefry,5,1,16,0.062,527043
valaika,pat,5,-6,12,-0.5,642162
cuthbert,cheslor,5,-4,30,-0.133,596144
la stella,tommy,5,-8,34,-0.235,600303
difo,wilmer,5,-8,39,-0.205,594694
hernandez,enrique,5,-4,10,-0.4,571771
valencia,danny,5,-21,109,-0.193,502143
mcmahon,ryan,5,0,22,0.0,641857
ngoepe,gift,5,0,1,0.0,547912
snyder,brandon,5,0,5,0.0,474319
gonzalez,marwin,5,-1,6,-0.167,503556
martin,russell,5,-14,54,-0.259,431145
muncy,max,5,-22,80,-0.275,571970
nunez,renato,5,-33,164,-0.201,600524
camargo,johan,5,-32,237,-0.135,622666
bote,david,5,-7,122,-0.057,623520
happ,ian,5,-12,34,-0.353,664023
davidson,matt,5,-3,35,-0.086,571602
sanchez,adrian,5,0,6,0.0,506703
baez,javier,5,-4,47,-0.085,595879
kiner-falefa,isiah,5,-15,122,-0.123,643396
goodrum,niko,5,-8,27,-0.296,592348
prado,martin,5,1,99,0.01,445988
alvarez,pedro,5,-2,14,-0.143,476883
goins,ryan,5,-2,11,-0.182,572365
gonzalez,erik,5,-4,29,-0.138,570481
reyes,jose,5,-13,48,-0.271,408314
bautista,jose,5,-18,45,-0.4,430832
pinder,chad,5,-4,32,-0.125,640461
flores,wilmer,5,-3,21,-0.143,527038
tomlinson,kelby,5,0,8,0.0,605509
walker,neil,5,-2,40,-0.05,435522
peterson,jace,5,-15,68,-0.221,607054
wendle,joey,5,-8,55,-0.145,621563
aguilar,jesus,5,0,4,0.0,542583
kozma,pete,5,-1,16,-0.062,518902
turner,justin,5,-49,268,-0.183,457759
urshela,gio,5,-4,16,-0.25,570482
petit,gregorio,5,-3,17,-0.176,463610
guillorme,luis,5,-5,20,-0.25,641645
asuaje,carlos,5,-1,6,-0.167,641319
valentin,jesmuel,5,2,17,0.118,621044
beckham,gordon,5,-3,7,-0.429,493596
alberto,hanser,5,0,2,0.0,593643
arroyo,christian,5,-3,13,-0.231,624414
rojas,miguel,5,-2,77,-0.026,500743
torres,ramon,5,2,15,0.133,593527
gurriel,yuli,5,-1,34,-0.029,493329
valera,breyvic,5,0,2,0.0,591971
walding,mitch,5,0,6,0.0,605520
rodriguez,ronny,5,-8,22,-0.364,500135
rodriguez,sean,5,-1,1,-1.0,446481
cowart,kaleb,5,-3,39,-0.077,592230
rivera,yadiel,5,-4,53,-0.075,592680
crawford,j. p.,5,-6,17,-0.353,641487
rondon,jose,5,0,19,0.0,602922
fontana,nolan,5,0,2,0.0,545337
hanson,alen,5,-7,22,-0.318,593700
fletcher,david,5,-3,75,-0.04,664058
romine,andrew,5,-2,12,-0.167,461865
lowrie,jed,5,-5,34,-0.147,476704
wilkerson,stevie,5,-6,16,-0.375,592859
motter,taylor,5,-1,5,-0.2,600301
swihart,blake,5,0,4,0.0,596119
escobar,alcides,5,-2,83,-0.024,444876
reynolds,mark,5,-9,25,-0.36,448602
garcia,leury,5,0,3,0.0,544725
astudillo,willians,5,-6,15,-0.4,553902
dozier,hunter,5,-32,90,-0.356,641531
owings,chris,5,-2,16,-0.125,572008
kelly,ty,5,0,1,0.0,571841
d'arnaud,chase,5,-1,16,-0.062,488818
orf,nate,5,0,3,0.0,644337
diaz,aledmys,5,-5,75,-0.067,649557
adrianza,ehire,5,-14,73,-0.192,501303
