last_name,first_name,position,total_bases,opportunities,percentage,player_id
kiermaier,kevin,8,23,381,0.06,595281
bradley,jackie,8,5,527,0.009,598265
happ,ian,8,-2,160,-0.013,664023
brinson,lewis,8,18,457,0.039,621446
engel,adam,8,-30,606,-0.05,641553
gordon,alex,8,11,61,0.18,460086
orlando,paulo,8,1,66,0.015,449181
zimmer,bradley,8,-6,141,-0.043,605548
gordon,dee,8,8,210,0.038,543829
pollock,a. j.,8,4,441,0.009,572041
blackmon,charlie,8,-70,608,-0.115,453568
deshields,delino,8,-26,497,-0.052,592261
marisnick,jake,8,-1,245,-0.004,545350
trout,mike,8,-2,490,-0.004,545361
powell,boog,8,-12,36,-0.333,621471
margot,manuel,8,6,531,0.011,622534
cain,lorenzo,8,-1,562,-0.002,456715
buxton,byron,8,-6,116,-0.052,621439
jones,adam,8,-48,487,-0.099,430945
rosario,eddie,8,-1,5,-0.2,592696
hicks,aaron,8,-22,494,-0.045,543305
pillar,kevin,8,-8,611,-0.013,607680
inciarte,ender,8,-29,683,-0.042,542255
altherr,aaron,8,-4,21,-0.19,571437
herrera,odubel,8,-26,537,-0.048,546318
jackson,austin,8,-32,386,-0.083,457706
taylor,chris,8,-16,143,-0.112,621035
pham,tommy,8,-33,371,-0.089,502054
nimmo,brandon,8,-15,166,-0.09,607043
martin,leonys,8,7,422,0.017,547982
marte,starling,8,-24,599,-0.04,516782
hamilton,billy,8,-11,668,-0.016,571740
taylor,michael,8,-11,409,-0.027,572191
almora,albert,8,-7,473,-0.015,546991
springer,george,8,8,213,0.038,543807
smolinski,jake,8,-4,56,-0.071,519295
gardner,brett,8,7,110,0.064,458731
benintendi,andrew,8,-12,85,-0.141,643217
davis,rajai,8,-33,151,-0.219,434658
tocci,carlos,8,-22,183,-0.12,624636
judge,aaron,8,0,2,0.0,592450
blanco,gregor,8,0,59,0.0,453923
lagares,juan,8,-2,59,-0.034,501571
goodwin,brian,8,-4,128,-0.031,571718
schebler,scott,8,-1,63,-0.016,594988
jones,jacoby,8,18,284,0.063,592444
robinson,drew,8,6,107,0.056,592685
hernandez,enrique,8,-2,153,-0.013,571771
pederson,joc,8,-32,93,-0.344,592626
gentry,craig,8,4,34,0.118,502226
szczur,matt,8,-1,13,-0.077,519333
hernandez,gorkys,8,-6,347,-0.017,491676
heredia,guillermo,8,5,316,0.016,628338
conforto,michael,8,-23,236,-0.097,624424
pinder,chad,8,-1,9,-0.111,640461
heyward,jason,8,0,68,0.0,518792
ervin,phil,8,-9,22,-0.409,640447
gomez,carlos,8,1,14,0.071,460576
tauchman,mike,8,0,12,0.0,643565
garcia,leury,8,8,81,0.099,544725
difo,wilmer,8,-2,3,-0.667,594694
phillips,brett,8,18,120,0.15,621433
maybin,cameron,8,-17,164,-0.104,457727
young,chris,8,-2,46,-0.043,455759
bader,harrison,8,0,339,0.0,664056
robinson,shane,8,-1,10,-0.1,453203
joyce,matthew,8,-1,4,-0.25,459964
perez,hernan,8,-2,5,-0.4,541650
thompson,trayce,8,-7,35,-0.2,572204
cordero,franchy,8,-13,42,-0.31,614173
desmond,ian,8,-1,10,-0.1,435622
almonte,abraham,8,-6,160,-0.037,501659
dyson,jarrod,8,31,179,0.173,502481
bourjos,peter,8,-1,7,-0.143,488721
merrifield,whit,8,7,133,0.053,593160
canha,mark,8,-1,214,-0.005,592192
